author_id,name,institution,publications,orcid,degree
https://openalex.org/A5010663972,Keyur P. Patel,The University of Texas MD Anderson Cancer Center,2,https://orcid.org/0000-0001-5081-2427,101
https://openalex.org/A5052311310,Nikhil Patkar,Tata Memorial Hospital,1,https://orcid.org/0000-0001-9234-2857,61
https://openalex.org/A5066407702,Jennifer Picarsic,Cincinnati Children's Hospital Medical Center,1,https://orcid.org/0000-0002-3718-6422,61
https://openalex.org/A5079124367,Uwe Platzbecker,University Hospital Leipzig,2,https://orcid.org/0000-0003-1863-3239,120
https://openalex.org/A5051182162,Irene Roberts,University of Oxford,1,https://orcid.org/0000-0002-6094-6397,61
https://openalex.org/A5074839524,Anna Schuh,University of Oxford,2,https://orcid.org/0000-0002-3938-8490,124
https://openalex.org/A5055407294,William A. Sewell,Garvan Institute of Medical Research,2,https://orcid.org/0000-0002-3586-8761,124
https://openalex.org/A5090007935,Reiner Siebert,Universität Ulm,2,https://orcid.org/0000-0002-6492-5323,124
https://openalex.org/A5017956721,Prashant Tembhare,Tata Memorial Hospital,1,https://orcid.org/0000-0002-9030-0415,61
https://openalex.org/A5058340446,Jeffrey W. Tyner,Oregon Health & Science University,1,https://orcid.org/0000-0002-2133-0960,61
https://openalex.org/A5085521139,Srđan Verstovšek,The University of Texas MD Anderson Cancer Center,1,https://orcid.org/0000-0002-6912-8569,61
https://openalex.org/A5100391698,Wei Wang,The University of Texas MD Anderson Cancer Center,1,https://orcid.org/0000-0001-6821-4556,61
https://openalex.org/A5013754928,Brent L. Wood,Children's Hospital of Los Angeles,2,https://orcid.org/0000-0001-7414-3969,124
https://openalex.org/A5055506298,Wenbin Xiao,Memorial Sloan Kettering Cancer Center,2,https://orcid.org/0000-0001-8586-8500,124
https://openalex.org/A5064100640,Cecilia C.S. Yeung,Fred Hutch Cancer Center,1,https://orcid.org/0000-0001-6799-2022,61
https://openalex.org/A5035964802,Andreas Hochhaus,Jena University Hospital,2,https://orcid.org/0000-0003-0626-0834,124
https://openalex.org/A5076565743,Catalina Amador,University of Miami,1,https://orcid.org/0000-0003-0352-5526,82
https://openalex.org/A5091740511,Ioannis Anagnostopoulos,University of Würzburg,1,https://orcid.org/0000-0002-5043-6043,82
https://openalex.org/A5084191548,Ayoma D. Attygalle,Royal Marsden Hospital,1,https://orcid.org/0000-0001-5034-8150,82
https://openalex.org/A5113141814,Iguaracyra Araújo,Universidade Federal da Bahia,1,,82
https://openalex.org/A5014966517,Govind Bhagat,Columbia University Irving Medical Center,1,https://orcid.org/0000-0001-6250-048X,82
https://openalex.org/A5108230605,Anita Borges,S.L. Raheja Hospital,1,,82
https://openalex.org/A5031099329,Daniel F. Boyer,University of Michigan–Ann Arbor,1,https://orcid.org/0000-0001-9948-3193,82
https://openalex.org/A5047655557,Maria Calaminici,Barts Health NHS Trust,1,https://orcid.org/0000-0003-4094-1633,82
https://openalex.org/A5064702056,Amy Chadburn,Cornell University,1,https://orcid.org/0000-0002-9499-8638,82
https://openalex.org/A5007685527,John K. C. Chan,Queen Elizabeth Hospital,1,https://orcid.org/0000-0001-5068-6707,82
https://openalex.org/A5048047530,Wah Cheuk,Queen Elizabeth Hospital,1,https://orcid.org/0000-0003-3160-9591,82
https://openalex.org/A5072940959,Shih‐Sung Chuang,Chi Mei Medical Center,1,https://orcid.org/0000-0003-3971-525X,82
https://openalex.org/A5045622683,Magdalena Czader,Indiana University – Purdue University Indianapolis,1,https://orcid.org/0000-0002-6173-6500,82
https://openalex.org/A5088101785,Sandeep S. Davé,Duke University,1,https://orcid.org/0000-0003-4848-9768,82
https://openalex.org/A5002852999,Ming‐Qing Du,University of Cambridge,1,https://orcid.org/0000-0002-1017-5045,82
https://openalex.org/A5019959500,Kojo S.J. Elenitoba‐Johnson,University of Pennsylvania,1,https://orcid.org/0000-0002-1082-1545,82
https://openalex.org/A5043668902,Julia T. Geyer,Cornell University,1,https://orcid.org/0000-0002-4424-6139,82
https://openalex.org/A5070059120,Dita Gratzinger,Stanford University,1,https://orcid.org/0000-0002-9182-8123,82
https://openalex.org/A5079170974,Joan Guitart,Northwestern University,1,https://orcid.org/0000-0001-7635-9237,82
https://openalex.org/A5042483676,Marian H. Harris,Boston Children's Hospital,1,https://orcid.org/0000-0002-9956-664X,82
https://openalex.org/A5082401017,Christine J. Harrison,Newcastle University,1,https://orcid.org/0000-0002-0526-6794,82
https://openalex.org/A5061378179,Sylvia Hartmann,Goethe University Frankfurt,1,https://orcid.org/0000-0003-3424-1091,82
https://openalex.org/A5062464380,Patty M. Jansen,Leiden University Medical Center,1,https://orcid.org/0000-0002-2361-9303,82
https://openalex.org/A5080232316,Kennosuke Karube,,1,https://orcid.org/0000-0002-1205-858X,82
https://openalex.org/A5041361796,Werner Kempf,,1,https://orcid.org/0000-0002-6552-8629,82
https://openalex.org/A5036353568,Hiroshi Kimura,Nagoya University,1,https://orcid.org/0000-0001-8063-5660,82
https://openalex.org/A5102919295,Wolfram Klapper,University Hospital Schleswig-Holstein,1,https://orcid.org/0000-0001-7208-4117,82
https://openalex.org/A5010699801,Alexandra E. Kovach,Children's Hospital of Los Angeles,1,https://orcid.org/0000-0002-6742-6749,82
https://openalex.org/A5026574827,Shaji Kumar,Mayo Clinic in Arizona,3,https://orcid.org/0000-0001-5392-9284,170
https://openalex.org/A5050445982,Alexander J. Lazar,The University of Texas MD Anderson Cancer Center,1,https://orcid.org/0000-0002-6395-4499,82
https://openalex.org/A5038020866,Stefano Lazzi,University of Siena,1,https://orcid.org/0000-0002-2218-3771,82
https://openalex.org/A5048326208,Lorenzo Leoncini,University of Siena,1,https://orcid.org/0000-0002-7457-300X,82
https://openalex.org/A5016853434,Nelson Leung,Mayo Clinic in Arizona,1,https://orcid.org/0000-0002-5651-1411,82
https://openalex.org/A5023994533,Vasiliki Leventaki,Children's Hospital of Wisconsin,1,https://orcid.org/0000-0003-1145-3550,82
https://openalex.org/A5046295364,Xiao‐Qiu Li,Fudan University Shanghai Cancer Center,1,https://orcid.org/0000-0002-8758-2191,82
https://openalex.org/A5048728118,Wei-Ping Liu,West China Hospital of Sichuan University,1,https://orcid.org/0000-0002-6819-5612,82
https://openalex.org/A5030353708,Abner Louissaint,Massachusetts General Hospital,1,https://orcid.org/0000-0001-6707-917X,82
https://openalex.org/A5000027373,L. Jeffrey Medeiros,The University of Texas MD Anderson Cancer Center,1,https://orcid.org/0000-0001-6577-8006,82
https://openalex.org/A5039660972,Michael Michal,Charles University,1,https://orcid.org/0000-0003-4403-7027,82
https://openalex.org/A5059586906,Roberto N. Miranda,The University of Texas MD Anderson Cancer Center,1,https://orcid.org/0000-0002-8467-5464,82
https://openalex.org/A5061708497,Christina Mitteldorf,Universitätsmedizin Göttingen,1,https://orcid.org/0000-0002-0971-0370,82
https://openalex.org/A5074244429,Santiago Montes‐Moreno,Marqués de Valdecilla University Hospital,1,https://orcid.org/0000-0002-3565-8262,82
https://openalex.org/A5033163324,William G. Morice,Mayo Clinic in Arizona,1,https://orcid.org/0000-0002-5801-2501,82
https://openalex.org/A5078592778,Valentina Nardi,Massachusetts General Hospital,1,https://orcid.org/0000-0002-0486-416X,82
https://openalex.org/A5089819985,Siok‐Bian Ng,National University of Singapore,1,https://orcid.org/0000-0001-6051-6410,82
https://openalex.org/A5031073147,Ilske Oschlies,University Hospital Schleswig-Holstein,1,https://orcid.org/0000-0002-4003-6855,82
https://openalex.org/A5055854759,Marie Parrens,Université de Bordeaux,1,https://orcid.org/0000-0002-4335-4138,82
https://openalex.org/A5020106808,Melissa Pulitzer,Memorial Sloan Kettering Cancer Center,1,https://orcid.org/0000-0002-0606-9186,82
https://openalex.org/A5066940168,S. Vincent Rajkumar,Mayo Clinic,2,https://orcid.org/0000-0002-5862-1833,153
https://openalex.org/A5001511648,Andy C. Rawstron,Leeds Teaching Hospitals NHS Trust,1,https://orcid.org/0000-0003-0798-9790,82
https://openalex.org/A5088357128,Karen L. Rech,Mayo Clinic in Arizona,1,https://orcid.org/0000-0001-6770-2339,82
https://openalex.org/A5028397596,Andreas Rosenwald,University of Würzburg,2,https://orcid.org/0000-0001-7282-8374,100
https://openalex.org/A5083115147,Jonathan W. Said,"University of California, Los Angeles",1,https://orcid.org/0000-0001-9474-2563,82
https://openalex.org/A5044269394,Clémentine Sarkozy,Institut Gustave Roussy,1,https://orcid.org/0000-0002-1942-9304,82
https://openalex.org/A5059897760,Shahin Sayed,Aga Khan University Nairobi,1,https://orcid.org/0000-0002-3472-511X,82
https://openalex.org/A5003321703,Caner Saygin,University of Chicago,1,https://orcid.org/0000-0001-7617-8356,82
https://openalex.org/A5087751610,Aliyah R. Sohani,Massachusetts General Hospital,1,https://orcid.org/0000-0002-6307-4854,82
https://openalex.org/A5055527227,Reuben Tooze,University of Leeds,1,https://orcid.org/0000-0003-2915-7119,82
https://openalex.org/A5004594498,Alexandra Traverse‐Glehen,Université Claude Bernard Lyon 1,1,https://orcid.org/0000-0002-3934-0120,82
https://openalex.org/A5006947975,Francisco Vega,The University of Texas MD Anderson Cancer Center,1,https://orcid.org/0000-0001-5956-452X,82
https://openalex.org/A5017989408,B. Vergier,Hôpital Cardiologique du Haut-Lévêque,1,https://orcid.org/0000-0002-3498-3143,82
https://openalex.org/A5070082694,Ashutosh D. Wechalekar,University College London,1,https://orcid.org/0000-0002-4406-7237,82
https://openalex.org/A5044335760,Luc Xerri,Institut Paoli-Calmettes,1,https://orcid.org/0000-0002-8672-9921,82
https://openalex.org/A5101484037,Zeming Lin,New York University,1,https://orcid.org/0000-0002-0883-1373,14
https://openalex.org/A5001757327,Halil Akin,,1,https://orcid.org/0000-0003-1666-3223,14
https://openalex.org/A5035441206,Roshan Rao,,1,https://orcid.org/0000-0003-4412-3742,14
https://openalex.org/A5021962955,Brian Hie,Palo Alto University,2,https://orcid.org/0000-0003-3224-8142,22
https://openalex.org/A5026512325,Zhongkai Zhu,,1,https://orcid.org/0000-0002-2721-1508,14
https://openalex.org/A5081216215,Wenting Lu,,1,,14
https://openalex.org/A5028613913,Nikita Smetanin,,1,,14
https://openalex.org/A5082335045,Robert Verkuil,,1,https://orcid.org/0000-0001-9533-7623,14
https://openalex.org/A5086801064,Ori Kabeli,,1,https://orcid.org/0000-0002-4153-2463,14
https://openalex.org/A5074280299,Yaniv Shmueli,,1,https://orcid.org/0000-0002-3581-2485,14
https://openalex.org/A5087232751,Allan dos Santos Costa,Massachusetts Institute of Technology,1,https://orcid.org/0000-0001-8061-339X,14
https://openalex.org/A5053471950,Maryam Fazel-Zarandi,,1,,14
https://openalex.org/A5006044037,Tom Sercu,,1,https://orcid.org/0000-0003-2947-6064,14
https://openalex.org/A5079593012,Salvatore Candido,,1,https://orcid.org/0000-0002-5847-0617,14
https://openalex.org/A5029063409,Alexander Rives,New York University,1,https://orcid.org/0000-0003-2208-0796,14
https://openalex.org/A5034957888,Andrew C. Baker,Stanford University,1,https://orcid.org/0000-0002-7866-2587,2
https://openalex.org/A5020344688,David F. Larcker,Stanford University,1,https://orcid.org/0000-0002-9585-2227,2
https://openalex.org/A5009696015,Charles C. Y. Wang,,1,https://orcid.org/0000-0003-0604-9684,2
https://openalex.org/A5025098840,Felix Teufel,Technical University of Denmark,1,https://orcid.org/0000-0003-1275-8065,9
https://openalex.org/A5067812333,José Juan Almagro Armenteros,Novo Nordisk Foundation,3,https://orcid.org/0000-0003-0111-1362,14
https://openalex.org/A5044404289,Alexander Rosenberg Johansen,Stanford University,2,https://orcid.org/0000-0002-4993-7916,10
https://openalex.org/A5073420392,Magnús Halldór Gíslason,Copenhagen University Hospital,1,https://orcid.org/0000-0002-9479-6374,9
https://openalex.org/A5053578860,Silas Irby Pihl,Technical University of Denmark,1,,9
https://openalex.org/A5087868319,Konstantinos D. Tsirigos,European Bioinformatics Institute,2,https://orcid.org/0000-0001-5280-1107,13
https://openalex.org/A5082357240,Ole Winther,Copenhagen University Hospital,3,https://orcid.org/0000-0002-1966-3205,14
https://openalex.org/A5011862057,Søren Brunak,University of Copenhagen,1,https://orcid.org/0000-0003-0316-5866,9
https://openalex.org/A5007682824,Gunnar von Heijne,Stockholm University,1,https://orcid.org/0000-0002-4490-8569,9
https://openalex.org/A5002675555,Henrik Nielsen,Technical University of Denmark,3,https://orcid.org/0000-0002-9412-9643,14
https://openalex.org/A5070723591,Daniel A. Arber,University of Chicago,3,https://orcid.org/0000-0002-2160-9689,95
https://openalex.org/A5037453366,Attilio Orazi,Texas Tech University Health Sciences Center,2,https://orcid.org/0000-0002-1660-7013,89
https://openalex.org/A5028418409,Robert P. Hasserjian,Massachusetts General Hospital,4,https://orcid.org/0000-0002-7753-0697,149
https://openalex.org/A5109198501,Michael J. Borowitz,Johns Hopkins University,2,,89
https://openalex.org/A5044681793,Katherine R. Calvo,National Institutes of Health Clinical Center,1,https://orcid.org/0000-0002-0771-4191,67
https://openalex.org/A5056500119,Hans Michael Kvasnicka,Helios Universitätsklinikum Wuppertal,1,https://orcid.org/0000-0002-5450-4840,67
https://openalex.org/A5089295627,Sa A. Wang,The University of Texas MD Anderson Cancer Center,1,https://orcid.org/0000-0001-9385-9911,67
https://openalex.org/A5089634995,Adam Bagg,University of Pennsylvania,2,https://orcid.org/0000-0002-1669-468X,89
https://openalex.org/A5069072959,Tiziano Barbui,Ospedale Papa Giovanni XXIII,1,https://orcid.org/0000-0003-2747-6327,67
https://openalex.org/A5011454613,Susan Branford,Centre for Cancer Biology,2,https://orcid.org/0000-0002-5095-7981,89
https://openalex.org/A5008503600,Carlos E. Bueso‐Ramos,The University of Texas MD Anderson Cancer Center,1,https://orcid.org/0000-0003-0180-7124,67
https://openalex.org/A5015101485,Jorge E. Cortés,Augusta University Health,1,https://orcid.org/0000-0002-8636-1071,67
https://openalex.org/A5067620976,Paola Dal Cin,Brigham and Women's Hospital,2,https://orcid.org/0000-0002-7426-5293,73
https://openalex.org/A5010786159,Courtney D. DiNardo,The University of Texas MD Anderson Cancer Center,2,https://orcid.org/0000-0001-9003-0390,89
https://openalex.org/A5000436961,Hervé Dombret,Hôpital Saint-Louis,1,https://orcid.org/0000-0002-5454-6768,67
https://openalex.org/A5108413029,Eric J. Duncavage,Washington University in St. Louis,2,,89
https://openalex.org/A5070668676,Benjamin L. Ebert,Dana-Farber Cancer Institute,4,https://orcid.org/0000-0003-0197-5451,157
https://openalex.org/A5057920623,Elihu H. Estey,University of Washington,1,https://orcid.org/0000-0002-0987-8077,67
https://openalex.org/A5078826164,Fabio Facchetti,University of Brescia,1,https://orcid.org/0000-0003-4975-2388,67
https://openalex.org/A5009246008,Kathryn Foucar,University of New Mexico,1,,67
https://openalex.org/A5002643270,Naseema Gangat,Mayo Clinic in Arizona,1,,67
https://openalex.org/A5054957586,Umberto Gianelli,University of Milan,1,https://orcid.org/0000-0003-3304-8417,67
https://openalex.org/A5065240782,Lucy A. Godley,University of Chicago,2,https://orcid.org/0000-0003-1914-9158,89
https://openalex.org/A5067318724,Nicola Gökbuget,Goethe University Frankfurt,1,,67
https://openalex.org/A5065621786,Jason Gotlib,Stanford University,1,https://orcid.org/0000-0001-8253-6156,67
https://openalex.org/A5031248010,Eva Hellström‐Lindberg,Svenska Örtmedicinska Institute,3,https://orcid.org/0000-0002-7839-3743,143
https://openalex.org/A5065595440,Gabriela S. Hobbs,Massachusetts General Hospital,1,https://orcid.org/0000-0002-0199-9333,67
https://openalex.org/A5006372952,Ronald Hoffman,Mount Sinai Medical Center,1,https://orcid.org/0000-0001-6564-6732,67
https://openalex.org/A5049385583,Elias Jabbour,The University of Texas MD Anderson Cancer Center,1,https://orcid.org/0000-0003-4465-6119,67
https://openalex.org/A5008609620,Jean‐Jacques Kiladjian,Hôpital Saint-Louis,1,https://orcid.org/0000-0002-8121-438X,67
https://openalex.org/A5072420982,Richard A. Larson,University of Chicago,1,https://orcid.org/0000-0001-9168-3203,67
https://openalex.org/A5072355780,Michelle M. Le Beau,University of Chicago,1,https://orcid.org/0000-0002-8749-2655,67
https://openalex.org/A5010840699,Mignon L. Loh,Seattle Children's Hospital,1,https://orcid.org/0000-0003-4099-4700,67
https://openalex.org/A5046775582,Bob Löwenberg,Erasmus MC,1,https://orcid.org/0000-0001-8982-5217,67
https://openalex.org/A5071962621,Elizabeth Macintyre,Université Paris Cité,2,https://orcid.org/0000-0003-0520-0493,139
https://openalex.org/A5072513476,Luca Malcovati,University of Pavia,4,https://orcid.org/0000-0002-1460-1611,157
https://openalex.org/A5048744038,Charles G. Mullighan,St. Jude Children's Research Hospital,2,https://orcid.org/0000-0002-1871-1850,89
https://openalex.org/A5107499170,Charlotte M. Niemeyer,University Medical Center Freiburg,1,https://orcid.org/0000-0003-3856-7937,67
https://openalex.org/A5060015628,Olatoyosi Odenike,University of Chicago,1,https://orcid.org/0000-0002-4027-4124,67
https://openalex.org/A5042588749,Seishi Ogawa,Kyoto University,3,https://orcid.org/0000-0002-7778-5374,143
https://openalex.org/A5088409474,Alberto Órfão,Universidad de Salamanca,1,https://orcid.org/0000-0002-0007-7230,67
https://openalex.org/A5077331342,Elli Papaemmanuil,Kettering University,3,,143
https://openalex.org/A5009381933,Francesco Passamonti,University of Pavia,1,https://orcid.org/0000-0001-8068-5289,67
https://openalex.org/A5050873337,Kimmo Porkka,Helsinki University Hospital,1,https://orcid.org/0000-0003-4112-5902,67
https://openalex.org/A5018363328,Ching‐Hon Pui,St. Jude Children's Research Hospital,1,https://orcid.org/0000-0003-0303-5658,67
https://openalex.org/A5089541690,Jerald P. Radich,Fred Hutch Cancer Center,1,https://orcid.org/0000-0002-1618-230X,67
https://openalex.org/A5102838332,Andreas Reiter,University of Mannheim,1,https://orcid.org/0000-0002-6338-2136,67
https://openalex.org/A5061167008,Marı́a Rozman,Universitat de Barcelona,1,https://orcid.org/0000-0002-2641-1110,67
https://openalex.org/A5102771763,Martina Rudelius,Ludwig-Maximilians-Universität München,1,,67
https://openalex.org/A5049400849,Michael R. Savona,Vanderbilt University,3,https://orcid.org/0000-0003-3763-5504,143
https://openalex.org/A5021092277,Charles A. Schiffer,The Barbara Ann Karmanos Cancer Institute,1,https://orcid.org/0000-0003-4188-7886,67
https://openalex.org/A5027936838,Annette Schmitt‐Graeff,University of Freiburg,1,https://orcid.org/0000-0001-5082-7979,67
https://openalex.org/A5045753320,Akiko Shimamura,Dana-Farber Cancer Institute,2,https://orcid.org/0000-0002-4683-9958,89
https://openalex.org/A5025894116,Jorge Sierra,Hospital de Sant Pau,1,https://orcid.org/0000-0002-7966-0356,67
https://openalex.org/A5005939966,Wendy Stock,University of Chicago,1,https://orcid.org/0000-0002-8349-9200,67
https://openalex.org/A5071023119,Richard M. Stone,Dana-Farber Cancer Institute,4,https://orcid.org/0000-0002-7526-2633,123
https://openalex.org/A5001124933,Martin S. Tallman,Lurie Children's Hospital,2,https://orcid.org/0000-0002-4367-6102,87
https://openalex.org/A5110011180,Jürgen Thiele,University of Cologne,1,,67
https://openalex.org/A5032738660,Hwei‐Fang Tien,National Taiwan University Hospital,1,https://orcid.org/0000-0002-1384-5593,67
https://openalex.org/A5041171016,Alexandar Tzankov,,1,https://orcid.org/0000-0002-1100-3819,67
https://openalex.org/A5046772202,Alessandro M. Vannucchi,Azienda Ospedaliero-Universitaria Careggi,2,https://orcid.org/0000-0001-5755-0730,89
https://openalex.org/A5075397421,Paresh Vyas,University of Oxford,1,https://orcid.org/0000-0003-3931-0914,67
https://openalex.org/A5005591514,Andrew H. Wei,The Royal Melbourne Hospital,1,https://orcid.org/0000-0002-7514-3298,67
https://openalex.org/A5025533977,Olga K. Weinberg,The University of Texas Southwestern Medical Center,2,https://orcid.org/0000-0002-4250-3891,73
https://openalex.org/A5018366313,Agnieszka Wierzbowska,Medical University of Lodz,1,https://orcid.org/0000-0001-7909-457X,67
https://openalex.org/A5050011235,Mario Cazzola,University of Pavia,3,https://orcid.org/0000-0001-6984-8817,143
https://openalex.org/A5089395073,Hartmut Döhner,University Hospital Ulm,2,https://orcid.org/0000-0003-2116-5536,89
https://openalex.org/A5016216479,Ayalew Tefferi,Mayo Clinic in Arizona,2,https://orcid.org/0000-0003-4605-3821,89
https://openalex.org/A5028919793,Gareth James,Emory University,1,https://orcid.org/0000-0002-3031-5906,4
https://openalex.org/A5031682567,Daniela Witten,University of Washington,1,https://orcid.org/0000-0002-1764-1184,4
https://openalex.org/A5045744709,Trevor Hastie,Stanford University,5,https://orcid.org/0000-0002-0164-3142,15
https://openalex.org/A5027340494,Robert Tibshirani,Stanford University,3,https://orcid.org/0000-0003-0553-5090,34
https://openalex.org/A5021087479,Jonathan Taylor,Stanford University,1,https://orcid.org/0000-0002-1716-7160,4
https://openalex.org/A5053418279,Eli Coleman,University of Minnesota,1,https://orcid.org/0000-0002-9803-2603,99
https://openalex.org/A5000061093,Asa Radix,New York University,1,https://orcid.org/0000-0001-9611-4181,99
https://openalex.org/A5012298670,Walter Pierre Bouman,Nottingham Biomedical Research Centre,1,https://orcid.org/0000-0002-2642-2792,99
https://openalex.org/A5111819237,George R. Brown,East Tennessee State University,1,,99
https://openalex.org/A5084857165,A. de Vries,Vrije Universiteit Amsterdam,1,https://orcid.org/0000-0002-6161-4116,99
https://openalex.org/A5012331999,Madeline B. Deutsch,"University of California, San Francisco",1,https://orcid.org/0000-0003-3456-9388,99
https://openalex.org/A5000645277,Randi Ettner,Weiss Memorial Hospital,1,,99
https://openalex.org/A5074981577,Lin Fraser,Film Independent,1,,99
https://openalex.org/A5011837566,Michael Goodman,Emory University,1,https://orcid.org/0000-0001-6956-6879,99
https://openalex.org/A5046393174,J. Green,Film Independent,1,,99
https://openalex.org/A5033057181,Adrienne B. Hancock,George Washington University,1,https://orcid.org/0000-0003-0396-0843,99
https://openalex.org/A5053322136,Thomas W. Johnson,"California State University, Chico",1,https://orcid.org/0000-0002-2613-9217,99
https://openalex.org/A5020831639,Dan H. Karasic,"University of California, San Francisco",1,,99
https://openalex.org/A5017080490,Gail Knudson,University of British Columbia,1,,99
https://openalex.org/A5015415079,Scott Leibowitz,Lurie Children's Hospital,1,https://orcid.org/0000-0001-9486-1415,99
https://openalex.org/A5026237694,Heino F. L. Meyer‐Bahlburg,New York State Psychiatric Institute,1,https://orcid.org/0000-0001-6271-391X,99
