year,collaborating_institution,country,work_id
2021,University of Pavia,IT,https://openalex.org/W3138220888
2021,University of Pavia,IT,https://openalex.org/W3138220888
2021,University of Pavia,IT,https://openalex.org/W3138220888
2021,Azienda USL di Bologna,IT,https://openalex.org/W3138220888
2021,Azienda USL di Bologna,IT,https://openalex.org/W3138220888
2021,Azienda USL di Bologna,IT,https://openalex.org/W3138220888
2021,Universitat de Lleida,ES,https://openalex.org/W3138220888
2021,Chelsea and Westminster Hospital,GB,https://openalex.org/W3138220888
2021,University of Pisa,IT,https://openalex.org/W3138220888
2021,University of Pisa,IT,https://openalex.org/W3138220888
2021,University of Pisa,IT,https://openalex.org/W3138220888
2021,University of Pavia,IT,https://openalex.org/W3138220888
2021,Ente Ospedaliero Ospedali Galliera,IT,https://openalex.org/W3138220888
2021,University of Pavia,IT,https://openalex.org/W3138220888
2021,Ospedale San Luigi Gonzaga,IT,https://openalex.org/W3138220888
2021,Frimley Health NHS Foundation Trust,GB,https://openalex.org/W3138220888
2021,Frimley Health NHS Foundation Trust,GB,https://openalex.org/W3138220888
2021,University of Pavia,IT,https://openalex.org/W3138220888
2021,Azienda USL di Bologna,IT,https://openalex.org/W3138220888
2021,University of Pisa,IT,https://openalex.org/W3138220888
2021,Azienda Socio Sanitaria Territoriale degli Spedali Civili di Brescia,IT,https://openalex.org/W3138220888
2021,Washington State University Spokane,US,https://openalex.org/W3129058318
2021,University of Pennsylvania,US,https://openalex.org/W3129058318
2021,University of Pennsylvania,US,https://openalex.org/W3129058318
2021,Icahn School of Medicine at Mount Sinai,US,https://openalex.org/W3129058318
2021,Massachusetts General Hospital,US,https://openalex.org/W3129058318
2021,Duke University,US,https://openalex.org/W3129058318
2021,"University of California, San Francisco",US,https://openalex.org/W3129058318
2021,University of Michigan–Ann Arbor,US,https://openalex.org/W3129058318
2021,Northwestern Medicine,US,https://openalex.org/W3129058318
2021,Uniformed Services University of the Health Sciences,US,https://openalex.org/W3129058318
2021,University of Alabama at Birmingham,US,https://openalex.org/W3129058318
2021,University of Pennsylvania,US,https://openalex.org/W3129058318
2021,"University of California, San Francisco",US,https://openalex.org/W3129058318
2021,Rush University,US,https://openalex.org/W3129058318
2021,University of Pennsylvania,US,https://openalex.org/W3129058318
2021,San Francisco AIDS Foundation,US,https://openalex.org/W3129058318
2021,Keck Hospital of USC,US,https://openalex.org/W3129058318
2021,Carolinas Medical Center,US,https://openalex.org/W3129058318
2021,University of Pennsylvania,US,https://openalex.org/W3129058318
2021,"University of California, San Francisco",US,https://openalex.org/W3129058318
2021,Hepatitis B Foundation,US,https://openalex.org/W3129058318
2021,University of Michigan–Ann Arbor,US,https://openalex.org/W3129058318
2022,Rhode Island Hospital,US,https://openalex.org/W4226156918
2022,NRG Oncology,US,https://openalex.org/W4226156918
2022,Memorial Sloan Kettering Cancer Center,US,https://openalex.org/W4226156918
2022,Mayo Clinic in Florida,US,https://openalex.org/W4226156918
2022,Rhode Island Hospital,US,https://openalex.org/W4226156918
2022,WinnMed,US,https://openalex.org/W4226156918
2022,Massachusetts General Hospital,US,https://openalex.org/W4226156918
2022,Moores Cancer Center,,https://openalex.org/W4226156918
2022,Montefiore Medical Center,US,https://openalex.org/W4226156918
2022,Memorial Sloan Kettering Cancer Center,US,https://openalex.org/W4226156918
2022,Herbert Irving Comprehensive Cancer Center,,https://openalex.org/W4226156918
2022,Kaiser Permanente,US,https://openalex.org/W4226156918
2022,Dana-Farber Brigham Cancer Center,US,https://openalex.org/W4226156918
2022,The Ohio State University Comprehensive Cancer Center – Arthur G. James Cancer Hospital and Richard J. Solove Research Institute,US,https://openalex.org/W4226156918
2022,University of Iowa Hospitals and Clinics,US,https://openalex.org/W4226156918
2022,The University of Kansas Cancer Center,US,https://openalex.org/W4226156918
2022,Medical University of South Carolina,US,https://openalex.org/W4226156918
2022,University of Rochester,US,https://openalex.org/W4226156918
2022,Levine Cancer Institute,US,https://openalex.org/W4226156918
2022,Providence College,US,https://openalex.org/W4226156918
2022,American College of Radiology,US,https://openalex.org/W4226156918
2022,Memorial Sloan Kettering Cancer Center,US,https://openalex.org/W4226156918
2022,The University of Texas MD Anderson Cancer Center,US,https://openalex.org/W4307399943
2022,The University of Texas MD Anderson Cancer Center,US,https://openalex.org/W4307399943
2022,The University of Texas MD Anderson Cancer Center,US,https://openalex.org/W4307399943
2022,The University of Texas MD Anderson Cancer Center,US,https://openalex.org/W4307399943
2022,The University of Texas MD Anderson Cancer Center,US,https://openalex.org/W4307399943
2022,The University of Texas MD Anderson Cancer Center,US,https://openalex.org/W4307399943
2022,The University of Texas MD Anderson Cancer Center,US,https://openalex.org/W4307399943
2022,The University of Texas MD Anderson Cancer Center,US,https://openalex.org/W4307399943
2022,Mayo Clinic in Arizona,US,https://openalex.org/W4307399943
2022,Levine Cancer Institute,US,https://openalex.org/W4307399943
2022,Magee-Womens Hospital,US,https://openalex.org/W4307399943
2022,The University of Texas MD Anderson Cancer Center,US,https://openalex.org/W4307399943
2022,Carolinas Medical Center,US,https://openalex.org/W4307399943
2022,Children's Hospital of Philadelphia,US,https://openalex.org/W4221105120
2022,St. Jude Children's Research Hospital,US,https://openalex.org/W4221105120
2022,University of Washington,US,https://openalex.org/W4221105120
2022,University of Florida,US,https://openalex.org/W4221105120
2022,St. Louis Children's Hospital,US,https://openalex.org/W4221105120
2022,UCSF Benioff Children's Hospital,US,https://openalex.org/W4221105120
2022,University of New Mexico,US,https://openalex.org/W4221105120
2022,University of Florida,US,https://openalex.org/W4221105120
2022,University of Rochester,US,https://openalex.org/W4221105120
2022,Children's Mercy Hospital,US,https://openalex.org/W4221105120
2022,University of Wisconsin Carbone Cancer Center,US,https://openalex.org/W4221105120
2022,University of Virginia Children's Hospital,US,https://openalex.org/W4221105120
2022,Children's Hospital of Philadelphia,US,https://openalex.org/W4221105120
2022,Children's Hospital of Philadelphia,US,https://openalex.org/W4221105120
2022,Mayo Clinic in Florida,US,https://openalex.org/W4221105120
2022,Children's Hospital of Wisconsin,US,https://openalex.org/W4221105120
2022,Texas Children's Hospital,US,https://openalex.org/W4221105120
2022,Lurie Children's Hospital,US,https://openalex.org/W4221105120
2022,Miller Children's & Women's Hospital,US,https://openalex.org/W4221105120
2022,Children’s Minnesota - St. Paul Hospital,US,https://openalex.org/W4221105120
2022,ARUP Laboratories (United States),US,https://openalex.org/W4221105120
2022,Miller Children's & Women's Hospital,US,https://openalex.org/W4221105120
2022,Stollery Children's Hospital,CA,https://openalex.org/W4221105120
2022,Texas Children's Hospital,US,https://openalex.org/W4221105120
2022,Institute for Clinical Evaluative Sciences,CA,https://openalex.org/W4221105120
2022,Michigan State University,US,https://openalex.org/W4221105120
2022,Levine Cancer Institute,US,https://openalex.org/W4221105120
2022,Memorial Sloan Kettering Cancer Center,US,https://openalex.org/W4221105120
2022,Children's Oncology Group,US,https://openalex.org/W4221105120
2022,Children's Minnesota,US,https://openalex.org/W4221105120
2022,University of Florida,US,https://openalex.org/W4221105120
2022,ImmunoGen (United States),US,https://openalex.org/W4221105120
2022,Children's National,US,https://openalex.org/W4221105120
2022,UCSF Benioff Children's Hospital,US,https://openalex.org/W4221105120
2022,Children's Hospital of Philadelphia,US,https://openalex.org/W4221105120
2022,NYU Langone Health,US,https://openalex.org/W4221105120
2022,University of Sheffield,GB,https://openalex.org/W4292342674
2022,IBM (United States),US,https://openalex.org/W4292342674
2022,IBM (United States),US,https://openalex.org/W4292342674
2022,St Thomas' Hospital,GB,https://openalex.org/W4292342674
2022,Carolinas Medical Center,US,https://openalex.org/W4292342674
2022,Brigham and Women's Hospital,US,https://openalex.org/W4292342674
2022,Mayo Clinic,US,https://openalex.org/W4292342674
2020,Case Western Reserve University,US,https://openalex.org/W3077866375
2020,Kaiser Permanente,US,https://openalex.org/W3077866375
2020,Indiana University,US,https://openalex.org/W3077866375
2020,Technical University of Munich,DE,https://openalex.org/W3077866375
2020,New Mexico Heart Institute,US,https://openalex.org/W3077866375
2020,Massachusetts General Hospital,US,https://openalex.org/W3077866375
2020,University of Rochester,US,https://openalex.org/W3077866375
2020,Clinical Research Solutions,US,https://openalex.org/W3077866375
2020,Iowa Lutheran Hospital,US,https://openalex.org/W3077866375
2020,Prisma Health,US,https://openalex.org/W3077866375
2020,Abbott Northwestern Hospital,US,https://openalex.org/W3077866375
2020,UCLA Medical Center,US,https://openalex.org/W3077866375
2020,Hospital Quirónsalud Barcelona,ES,https://openalex.org/W3077866375
2020,University of California San Diego Medical Center,US,https://openalex.org/W3077866375
2020,Carolinas Medical Center,US,https://openalex.org/W3077866375
2020,Virginia Mason Medical Center,US,https://openalex.org/W3077866375
2020,Sisters of Charity Hospital,US,https://openalex.org/W3077866375
2020,St. Luke's University Health Network,US,https://openalex.org/W3077866375
2020,Carolinas Medical Center,US,https://openalex.org/W3013988053
2020,Carolinas Medical Center,US,https://openalex.org/W3013988053
2020,Carolinas Medical Center,US,https://openalex.org/W3013988053
2020,Carolinas Medical Center,US,https://openalex.org/W3013988053
2020,Carolinas Medical Center,US,https://openalex.org/W3013988053
2020,Carolinas Medical Center,US,https://openalex.org/W3013988053
2020,Carolinas Medical Center,US,https://openalex.org/W3013988053
2020,The Neurological Institute,US,https://openalex.org/W3037714735
2020,The University of Texas Health Science Center at San Antonio,US,https://openalex.org/W3037714735
2020,Temple University,US,https://openalex.org/W3037714735
2020,Italfarmaco (Italy),IT,https://openalex.org/W3037714735
2020,Carolinas Medical Center,US,https://openalex.org/W3037714735
2020,The Neurological Institute,US,https://openalex.org/W3037714735
2020,University Hospital of Basel,CH,https://openalex.org/W3080350485
2020,University of Basel,CH,https://openalex.org/W3080350485
2020,Radboud University Nijmegen,NL,https://openalex.org/W3080350485
2020,University Hospital of Basel,CH,https://openalex.org/W3080350485
2020,St Thomas' Hospital,GB,https://openalex.org/W3080350485
2020,University of Auckland,NZ,https://openalex.org/W3080350485
2020,University of Lausanne,CH,https://openalex.org/W3080350485
2020,Solothurner Spitäler,CH,https://openalex.org/W3080350485
2020,Radboud University Nijmegen,NL,https://openalex.org/W3080350485
2020,Schulthess-Klinik,CH,https://openalex.org/W3080350485
2020,Tallaght University Hospital,IE,https://openalex.org/W3080350485
2020,"Istituto Nazionale Tumori IRCCS ""Fondazione G. Pascale""",IT,https://openalex.org/W3080350485
2020,Universitat Autònoma de Barcelona,ES,https://openalex.org/W3080350485
2020,G. Papanikolaou General Hospital,GR,https://openalex.org/W3080350485
2020,Ankara University,TR,https://openalex.org/W3080350485
2020,Sigmund Freud University Vienna,AT,https://openalex.org/W3080350485
2020,University of Lausanne,CH,https://openalex.org/W3080350485
2020,University Children’s Hospital Basel,CH,https://openalex.org/W3080350485
2020,University of Lausanne,CH,https://openalex.org/W3080350485
2020,Sigmund Freud University Vienna,AT,https://openalex.org/W3080350485
2020,G. Papanikolaou General Hospital,GR,https://openalex.org/W3080350485
2020,University Children’s Hospital Basel,CH,https://openalex.org/W3080350485
2020,St Thomas' Hospital,GB,https://openalex.org/W3080350485
2020,Universitat Autònoma de Barcelona,ES,https://openalex.org/W3080350485
2020,University Children’s Hospital Basel,CH,https://openalex.org/W3080350485
2020,St Thomas' Hospital,GB,https://openalex.org/W3080350485
2020,University of Sydney,AU,https://openalex.org/W3080350485
2020,Tallaght University Hospital,IE,https://openalex.org/W3080350485
2020,Ankara University,TR,https://openalex.org/W3080350485
2020,"Istituto Nazionale Tumori IRCCS ""Fondazione G. Pascale""",IT,https://openalex.org/W3080350485
2020,Carolinas Medical Center,US,https://openalex.org/W3080350485
2020,Kantonsspital Graubünden,CH,https://openalex.org/W3080350485
2020,Innsbruck Medical University,AT,https://openalex.org/W3080350485
2020,"Istituto Nazionale Tumori IRCCS ""Fondazione G. Pascale""",IT,https://openalex.org/W3080350485
2020,Tallaght University Hospital,IE,https://openalex.org/W3080350485
2020,Radboud University Nijmegen,NL,https://openalex.org/W3080350485
2020,Solothurner Spitäler,CH,https://openalex.org/W3080350485
2020,Solothurner Spitäler,CH,https://openalex.org/W3080350485
2020,Universitat Autònoma de Barcelona,ES,https://openalex.org/W3080350485
2020,Universitat Autònoma de Barcelona,ES,https://openalex.org/W3080350485
2020,Carolinas Medical Center,US,https://openalex.org/W3080350485
2020,University of Sydney,AU,https://openalex.org/W3080350485
2020,University of Auckland,NZ,https://openalex.org/W3080350485
2020,University of Auckland,NZ,https://openalex.org/W3080350485
2020,University Hospital of Basel,CH,https://openalex.org/W3080350485
2020,Radboud University Nijmegen,NL,https://openalex.org/W3080350485
2020,University of Basel,CH,https://openalex.org/W3080350485
2020,University Hospital of Zurich,CH,https://openalex.org/W3080350485
2020,University Hospital of Basel,CH,https://openalex.org/W3080350485
2020,University of Basel,CH,https://openalex.org/W3080350485
2021,University of Colorado Denver,US,https://openalex.org/W3156645577
2021,Carolinas Medical Center,US,https://openalex.org/W3156645577
2021,Stanford University,US,https://openalex.org/W3156645577
2021,UCSF Helen Diller Family Comprehensive Cancer Center,US,https://openalex.org/W3156645577
2021,University of Utah,US,https://openalex.org/W3156645577
2021,Cytovale (United States),US,https://openalex.org/W3156645577
2021,VIR Biotechnology (United States),US,https://openalex.org/W3156645577
2021,Stanford University,US,https://openalex.org/W3156645577
2021,Stanford University,US,https://openalex.org/W3156645577
2021,Stanford University,US,https://openalex.org/W3156645577
2021,Sangamo BioSciences (United States),US,https://openalex.org/W3156645577
2021,Stanford University,US,https://openalex.org/W3156645577
2020,Hospital Universitario Reina Sofía,ES,https://openalex.org/W3102387965
2020,Hakodate Central General Hospital,JP,https://openalex.org/W3102387965
2020,Hospital Universitario Virgen de la Arrixaca,ES,https://openalex.org/W3102387965
2020,Hospital Universitario Reina Sofía,ES,https://openalex.org/W3102387965
2020,Yonsei University,KR,https://openalex.org/W3102387965
2020,National Taiwan University Hospital,TW,https://openalex.org/W3102387965
2020,Fujita Health University,JP,https://openalex.org/W3102387965
2020,Ghent University,BE,https://openalex.org/W3102387965
2020,Hôpital Paul-Brousse,FR,https://openalex.org/W3102387965
2020,Hôpital Beaujon,FR,https://openalex.org/W3102387965
2020,Charité - Universitätsmedizin Berlin,DE,https://openalex.org/W3102387965
2020,Carolinas Medical Center,US,https://openalex.org/W3102387965
2020,The Ohio State University Wexner Medical Center,US,https://openalex.org/W3102387965
2020,Hospital de Câncer de Barretos,BR,https://openalex.org/W3102387965
2020,AdventHealth Tampa,US,https://openalex.org/W3102387965
2020,Pamela Youde Nethersole Eastern Hospital,CN,https://openalex.org/W3102387965
2020,Hakodate Central General Hospital,JP,https://openalex.org/W3102387965
2020,University of Pennsylvania,US,https://openalex.org/W3017448518
2020,University of Pennsylvania,US,https://openalex.org/W3017448518
2020,National Heart Centre Singapore,SG,https://openalex.org/W3017448518
2020,University of Bristol,GB,https://openalex.org/W3017448518
2020,National Jewish Health,US,https://openalex.org/W3017448518
2020,Carolinas Medical Center,US,https://openalex.org/W3017448518
2020,University of Pennsylvania,US,https://openalex.org/W3017448518
2020,McGill University,CA,https://openalex.org/W3017448518
2020,NIHR Bristol Biomedical Research Centre,GB,https://openalex.org/W3017448518
2020,Beth Israel Deaconess Medical Center,US,https://openalex.org/W3017448518
2020,"University of California, San Francisco",US,https://openalex.org/W3017448518
2020,University of Leeds,GB,https://openalex.org/W3017448518
2020,Boston Children's Hospital,US,https://openalex.org/W3017448518
2020,Indiana University – Purdue University Indianapolis,US,https://openalex.org/W3017448518
2020,Northwestern University,US,https://openalex.org/W3017448518
2020,Carolinas Medical Center,US,https://openalex.org/W3113034337
2020,Albany Medical Center Hospital,US,https://openalex.org/W3113034337
2020,Hennepin County Medical Center,US,https://openalex.org/W3113034337
2020,Hennepin County Medical Center,US,https://openalex.org/W3113034337
2020,Stony Brook University Hospital,US,https://openalex.org/W3113034337
2020,Stony Brook University Hospital,US,https://openalex.org/W3113034337
2020,Stony Brook University Hospital,US,https://openalex.org/W3113034337
2020,Advocate Christ Medical Center,US,https://openalex.org/W3113034337
2020,Stony Brook University Hospital,US,https://openalex.org/W3113034337
2020,Stony Brook University Hospital,US,https://openalex.org/W3113034337
2020,Hennepin County Medical Center,US,https://openalex.org/W3113034337
2020,Stony Brook University Hospital,US,https://openalex.org/W3113034337
2020,Hennepin County Medical Center,US,https://openalex.org/W3113034337
2020,Rhode Island Hospital,US,https://openalex.org/W3017140740
2020,Medical University of South Carolina,US,https://openalex.org/W3017140740
2020,Donald & Barbara Zucker School of Medicine at Hofstra/Northwell,US,https://openalex.org/W3017140740
2020,MetroHealth,US,https://openalex.org/W3017140740
2020,Uniformed Services University of the Health Sciences,US,https://openalex.org/W3017140740
2020,Carolinas Medical Center,US,https://openalex.org/W3017140740
2020,University of Minnesota,US,https://openalex.org/W3017140740
2020,Cornell University,US,https://openalex.org/W3017140740
2020,University of Pennsylvania,US,https://openalex.org/W3017140740
2021,"University of Maryland, Baltimore",US,https://openalex.org/W3136818362
2021,"University of Maryland, Baltimore",US,https://openalex.org/W3136818362
2021,Johns Hopkins University,US,https://openalex.org/W3136818362
2021,San Antonio Military Medical Center,US,https://openalex.org/W3136818362
2021,Johns Hopkins University,US,https://openalex.org/W3136818362
2021,Johns Hopkins University,US,https://openalex.org/W3136818362
2021,Johns Hopkins University,US,https://openalex.org/W3136818362
2021,"University of Maryland, Baltimore",US,https://openalex.org/W3136818362
2021,The University of Texas Health Science Center at Houston,US,https://openalex.org/W3136818362
2021,Carolinas Medical Center,US,https://openalex.org/W3136818362
2021,Johns Hopkins University,US,https://openalex.org/W3136818362
2021,Stanford University,US,https://openalex.org/W3136818362
2021,Brigham and Women's Hospital,US,https://openalex.org/W3136818362
2021,Harborview Medical Center,US,https://openalex.org/W3136818362
2021,Carolinas Medical Center,US,https://openalex.org/W3136818362
2021,Carolinas Medical Center,US,https://openalex.org/W3136818362
2021,Carolinas Medical Center,US,https://openalex.org/W3136818362
